,text,normal_text,label
40,здравствуйте есть ли у вас свободные номера мне бы хотелось забронировать один,здравствуйте свободный номер хотеться забронировать,номера
41,каково время выезда из номера,каков время выезд номер,время
42,в какое время номер будет готов к заселениею,какой время номер готовый заселения,время
43,заезд в какое время в номер,заезд какой время номер,время
44,предоставляет ли гостиница дополнительные услуги,предоставлять гостиница дополнительный услуга,услуги
45,хотела бы уточнить какие номера у вас есть,хотеть уточнить какой номер,номера
46,расскажите какие есть номера,рассказать какой номер,номера
47,в какое время можно заедать в номер,какой время заедать номер,время
48,подскажите пожалуйста сколько у вас номерной фонд,подсказать пожалуйста сколько номерной фонд,время
49,доброе утро скажите есть ли у вас бесплатная охраняемая стояка,добрый утро сказать бесплатный охранять стояк,время
50,Какие у вас есть виды номеров,какой вид номер,номера
51,Номер в отеле,номер отель,забронировать
52,Подскажите список услуг которые вы предоставляете,подсказать список услуга который предоставлять,время
53,здравствуйте смогу ли я припарковаться возле отеля,здравствуйте смочь припарковаться возле отель,время
54,хорошего дня не могли бы вы рассказать когда будет ланч,хороший день мочь рассказать ланч,время
55,привет хочу забронировать номер,привет хотеть забронировать номер,забронировать
56,здравствуйте скажите пожалуйста есть ли парковка на территории отеля и какая стоимость,здравствуйте сказать пожалуйста парковка территория отель стоимость,парковка
57,Здравствуйте какие сейчас номера у вас есть,здравствуйте какой номер,номера
58,день добрый меня интересует информация о видах номеров в вашей гостинице,день добрый интересовать информация вид номер ваш гостиница,время
59,добрый день подскажите пожалуйста ваша гостиница предоставляет какие то дополнительные услуги,добрый день подсказать пожалуйста ваш гостиница предоставлять какой дополнительный услуга,услуги
60,зравствуйте какие услуги может предложить гостиница,зравствовать какой услуга предложить гостиница,услуги
61,подскажите пожалуста есть вас люкс,подсказать пожалуста люкс,номера
62,Привет Расскажи о доп услугах в этой гостинице,привет рассказать доп услуга гостиница,время
63,во сколько уже можно заселяться в номере,сколько заселяться номер,время
64,Во сколько нужно выехать,сколько нужно выехать,время
65,добрый вечер у вас есть парковка и какая стоимость,добрый вечер парковка стоимость,парковка
66,добрый день помогите забронировать в вашем отеле номер,добрый день помочь забронировать ваш отель номер,забронировать
67,Здравствуйте у вас есть свободные номера хотим забронировать,здравствуйте свободный номер хотеть забронировать,номера
68,Во сколько нужно заехать в номер,сколько нужно заехать номер,время
69,есть ли в вашем отеле good morning парковочное место,ваш отель good morning парковочный место,время
70,здравствуйте могу ли я забронировать номер в вашей гостинице,здравствуйте мочь забронировать номер ваш гостиница,забронировать
71,есть ли в гостинице не стандартные услуги,гостиница стандартный услуга,услуги
72,сколько у вас есть номеров и какого они типа,сколько номер какой тип,время
73,Я хочу сменить комнату,хотеть сменить комната,время
74,Здравствуйте я хотел бы забронировать номер в вашем отеле,здравствуйте хотеть забронировать номер ваш отель,забронировать
75,Скажите какие у вас номера,сказать какой номер,номера
76,здравствуйте сколько стоит парковка при отели,здравствуйте сколько стоить парковка отель,время
77,"привет, что еще может ваш отель предоставить","привет , ваш отель предоставить",время
78,время прибытия в номер,время прибытие номер,время
79,в 11 можно заехать в номер,11 заехать номер,время
80,добрый день хочу узнать какие номера предоставляются в гостинице,добрый день хотеть узнать какой номер предоставляться гостиница,номера
81,могу я забронировать номер у вас,мочь забронировать номер,забронировать
82,здравствуйте мне нужен номер на двоих человек на 17 мая хочу забронировать заранее может подсказать мне сумму на бронь номера заранее спасибо,здравствуйте нужный номер двое человек 17 май хотеть забронировать заранее подсказать сумма бронь номер заранее спасибо,время
83,добрый день подскажите на территории отеля имеется парковка и какова ее стоимость,добрый день подсказать территория отель иметься парковка каков стоимость,парковка
84,подскажите пожалуйста номера у вас есть,подсказать пожалуйста номер,номера
85,подскажите есть ли одноместные номера,подсказать одноместный номер,номера
86,Здравствуйте у вас есть парковка для машины,здравствуйте парковка машина,парковка
87,скажите пожалуйста время заселения в номер,сказать пожалуйста время заселение номер,время
88,могу ли я узнать какие имеются у вас номера,мочь узнать какой иметься номер,номера
89,какие у вас номера,какой номер,номера
90,в какой часовой пояс я могу заселиться в отель,часовой пояс мочь заселиться отель,время
91,когда происходит заселение и выселение,происходить заселение выселение,время
92,здравствуйте хочу зарезервировать номер в вашем отеле,здравствуйте хотеть зарезервировать номер ваш отель,забронировать
93,Какие ещё услуги может мне предоставить гостиница,какой ещё услуга предоставить гостиница,услуги
94,Здравствуйте В отеле есть парковка,здравствуйте отель парковка,парковка
95,Здравствуйте можно забронировать номер в отеле,здравствуйте забронировать номер отель,забронировать
96,дополнительные услуги,дополнительный услуга,услуги
97,Подскажите а у вас есть номера категории стандарт,подсказать номер категория стандарт,номера
98,какие у вас имеются номера,какой иметься номер,номера
99,скажите есть ли парковка на территории отеля,сказать парковка территория отель,парковка
100,есть ли у вас номера,номер,номера
101,покажи номера,показать номер,номера
102,какие номера можно снять в вашем отеле,какой номер снять ваш отель,номера
103,во сколько можно заехать в номер,сколько заехать номер,время
104,здравствуйте подскажите пожалуйста а на территории вашего отеля есть автомобильная парковка,здравствуйте подсказать пожалуйста территория ваш отель автомобильный парковка,парковка
105,приветствую подскажите есть ли у вас автомобильная парковка,приветствовать подсказать автомобильный парковка,парковка
106,здраствуйте мне нужно забронировать в отеле номер,здраствовать нужно забронировать отель номер,забронировать
107,хочу у вас снять номер,хотеть снять номер,забронировать
108,скажите время заселения и выезда,сказать время заселение выезд,время
109,у вас есть свободные места на парковке,свободный место парковка,парковка
110,Подскажите пожалуйста есть ли у вас номера,подсказать пожалуйста номер,номера
111,Что предоставляет гостиница,предоставлять гостиница,время
112,добрый вечер подскажите пожалуйста есть ли у вас стоянка для авто,добрый вечер подсказать пожалуйста стоянка авто,время
113,Здравствуйте у вас есть другие услуги,здравствуйте другой услуга,услуги
114,привет я хочу заказать номер в отеле,привет хотеть заказать номер отель,забронировать
115,как долго я могу войти в комнату ночью,долго мочь войти комната ночью,время
116,хочу сделать бронь в вашем отеле,хотеть сделать бронь ваш отель,забронировать
117,Добрый день Есть ли какиенибудь дополнительные услуги,добрый день какиенибудь дополнительный услуга,услуги
118,добрый день какие есть дополнительные услуги у отеля,добрый день какой дополнительный услуга отель,услуги
119,здраствуйте у вас есть автомобильная стоянка и сколько стоит,здраствовать автомобильный стоянка сколько стоить,время
120,добрый вечер подскажите пожалуйста есть ли автомобильная стоянка на территории и какова ее стоимость,добрый вечер подсказать пожалуйста автомобильный стоянка территория каков стоимость,парковка
121,когда я могу заехать в номер,мочь заехать номер,время
122,Здравствуйте а у вас есть автостоянка,здравствуйте автостоянка,номера
123,здравствуйте можете рассказать подробнее об услугах предоставляемых гостиницей,здравствуйте мочь рассказать подробный услуга предоставлять гостиница,время
124,Оформите мне бронь номера,оформить бронь номер,время
125,Расскажите о доступных номерах,рассказать доступный номер,время
126,есть ли фиксированное время заселения и выселения,фиксировать время заселение выселение,время
127,когда и во сколько заежать в номер,сколько заежать номер,время
128,добрый день скажите пожалуйста в какое время мы можем заселится,добрый день сказать пожалуйста какой время мочь заселиться,время
129,могу ли я получить какие то дополнительные услуги в гостинице,мочь получить какой дополнительный услуга гостиница,услуги
130,добрый вечер сообщите перечень услуг вашего отеля пожалуйста,добрый вечер сообщить перечень услуга ваш отель пожалуйста,время
131,здравствуйте есть ли возможность припарковаться на территории отеля,здравствуйте возможность припарковаться территория отель,парковка
132,добрый день подскажите пожалуйста какими еще услугами я могу воспользоваться в вашей гостинице,добрый день подсказать пожалуйста какой услуга мочь воспользоваться ваш гостиница,время
133,позвольте зарезервировать комнату у вас,позволить зарезервировать комната,время
134,скажите какой у вас выбор номеров есть люксы синглы номера на двоих,сказать выбор номер люкс сингл номер двое,номера
135,скажите какие в наличии есть номера,сказать какой наличие номер,номера
136,каковы дополнительные услуги предоставляемые гостиницей,каков дополнительный услуга предоставлять гостиница,услуги
137,имеютс ли у ва номера пожалуйста подскажи,имеютс ва номер пожалуйста подсказать,время
138,у вас есть бар в гостинице,бар гостиница,время
139,бронь в вашем отеле,бронь ваш отель,забронировать
140,в какое время я могу заехать в номер,какой время мочь заехать номер,время
141,какие еще услуги можно заказать в гостинице,какой услуга заказать гостиница,услуги
142,я хочу забронировать номер в вашем отеле,хотеть забронировать номер ваш отель,забронировать
143,здравствуйте каким образом я могу заказать у вас проживание в хотеле,здравствуйте какой образ мочь заказать проживание хотель,время
144,здравствуйте подскажите пожалуйста есть ли у вас свободные номера и какая стоимость,здравствуйте подсказать пожалуйста свободный номер стоимость,номера
145,Здравствуйте Есть ли возможность забронировать номер в вашем отеле,здравствуйте возможность забронировать номер ваш отель,забронировать
146,В какое время я могу заселиться в номер,какой время мочь заселиться номер,время
147,когда chek in,chek in,время
148,какие услуги предоставляет гостиница,какой услуга предоставлять гостиница,услуги
149,если ли кондиционер в номере,кондиционер номер,время
150,есть в наличии парковка сколько она стоит,наличие парковка сколько стоить,время
151,Добрый день Скажите стоимость суточной парковки у отеля,добрый день сказать стоимость суточный парковка отель,время
152,добрый день можно ли ознакомиться со всеми услугами вашей гостиницы,добрый день ознакомиться весь услуга ваш гостиница,время
153,какое время выселения из номера,какой время выселение номер,время
154,подскажите пожалуйста время бронирвоания,подсказать пожалуйста время бронирвоание,время
155,здравствуйте я бы хотела осуществить бронирование номера в вашем отеле,здравствуйте хотеть осуществить бронирование номер ваш отель,забронировать
156,здраствуйте как забронировать у вас номер в отеле,здраствовать забронировать номер отель,забронировать
157,у вас какие номера в налиии,какой номер налиия,номера
158,сколько будет стоит стоянка,сколько стоить стоянка,время
159,здравствуйте могу я забронировать номер,здравствуйте мочь забронировать номер,забронировать
160,какая тематика должна быть,тематика должный,время
161,добрый день что входит в дополнительные услуги вашей гостиницы,добрый день входить дополнительный услуга ваш гостиница,услуги
162,сообщите пожалуйста в какое время я могу заселиться в номер,сообщить пожалуйста какой время мочь заселиться номер,время
163,Какими номерами вы располагаете,какой номер располагать,время
164,Здравствуйте не подскажете где можно припарковаться у вашего отеля,здравствуйте подсказать припарковаться ваш отель,время
165,Скажите пожалуйстакакими доп  услугами можно воспользоваться в вашей гостинице,сказать пожалуйстакакий доп услуга воспользоваться ваш гостиница,время
166,Здравствуйте у вас есть парковка на территории отеля Какие условия,здравствуйте парковка территория отель какой условие,парковка
167,время заседания и выселения,время заседание выселение,время
168,огласить все номера в наличии можете,огласить номер наличие мочь,номера
169,мне бы хотелось забронировать номер у вас в отеле,хотеться забронировать номер отель,забронировать
170,Перечислите доступные услуги отеля,перечислить доступный услуга отель,услуги
171,здраствуйте у вас есть парковка,здраствовать парковка,парковка
172,здравствуйте есть ли у вас парковка рядом с гостиницей если есть какая стоимость парковки в час,здравствуйте парковка рядом гостиница стоимость парковка час,парковка
173,Привет имеются ли у вас трехместные номера,привет иметься трехместный номер,номера
174,какие имеет значение на какое время заезда номер,какой иметь значение какой время заезд номер,время
175,здравствуйте имеется ли парковка при гостинице и входит ли ее стоимость в проживание,здравствуйте иметься парковка гостиница входить стоимость проживание,парковка
176,когда время заселения в номер,время заселение номер,время
177,подскажите можно у вашего отеля оставить авто,подсказать ваш отель оставить авто,время
178,у вас есть номера люкс,номер люкс,номера
179,Доброго дня Расскажите о дополнительных услугах предоставляемых гостиницей,добрый день рассказать дополнительный услуга предоставлять гостиница,время
180,здравствуйте помогите мне забронировать у вас номер,здравствуйте помочь забронировать номер,забронировать
181,я хочу забронировать номер в отеле,хотеть забронировать номер отель,забронировать
182,когда можно заселиться,заселиться,время
183,у меня нет номера,номер,номера
184,добрый день хочу оформить бронь в вашем отеле,добрый день хотеть оформить бронь ваш отель,забронировать
185,доброе утро у вас есть парковка на территории отеля,добрый утро парковка территория отель,парковка
186,есть ли парковка на территории отеля,парковка территория отель,парковка
187,доброе нет у нас нету мест в отеле,добрый нету место отель,время
188,забронировать номер в отеле,забронировать номер отель,забронировать
189,здравствуйте я хотела бы узнать могу ли я припарковать авто на территории вашего отеля,здравствуйте хотеть узнать мочь припарковать авто территория ваш отель,парковка
190,расскажите о дополнительных услугах гостинницы,рассказать дополнительный услуга гостинница,время
191,Скажите пожалуйста какими ещё услугами гостиницы я могу воспользоваться,сказать пожалуйста какой ещё услуга гостиница мочь воспользоваться,время
192,добрый день есть ли возможность заказать номер для семейной пары с дополнительной комнатой,добрый день возможность заказать номер семейный пара дополнительный комната,время
193,добрый день подскажите в какое время я могу заселиться в номер,добрый день подсказать какой время мочь заселиться номер,время
194,имеется ли у вас парковка,иметься парковка,парковка
195,Во сколько заезд в номер,сколько заезд номер,время
196,здравствуйте я бы хотела забронировать у вас номер,здравствуйте хотеть забронировать номер,забронировать
197,здравствуйте подскажите пожалуйста есть ли возможность поставить машину рядом,здравствуйте подсказать пожалуйста возможность поставить машина рядом,время
198,в какое время я могу заселиться,какой время мочь заселиться,время
199,во сколько заселение в номер,сколько заселение номер,время
200,здравствуйте подскажите пожалуйста на территории отеля есть место для стоянки автомобиля,здравствуйте подсказать пожалуйста территория отель место стоянка автомобиль,парковка
201,Какое точное время заселения в гостиницу,какой точный время заселение гостиница,время
202,возможно ли забронировать номер,возможно забронировать номер,забронировать
203,когда заселяться,заселяться,время
204,здравствуйте подскажите время заезда в номер,здравствуйте подсказать время заезд номер,время
205,во сколько заезжаем,сколько заезжать,время
206,здравствуйте мне необходимо забронировать номер на три персоны в вашем отеле,здравствуйте необходимо забронировать номер персона ваш отель,забронировать
207,здравствуйте рядом с вами есть парковка,здравствуйте рядом вы парковка,парковка
208,Добрый денькакие у вас имеются гостиничные номера,добрый денькакий иметься гостиничный номер,номера
209,добрый день расскажите пожалуйста какие дополнительные услуги присутствуют в вашей гостинице,добрый день рассказать пожалуйста какой дополнительный услуга присутствовать ваш гостиница,услуги
210,скажите пожалуйста сколько у вас всего номеров,сказать пожалуйста сколько номер,время
211,на данный момент гостиница работает,данный момент гостиница работать,время
212,добрый день какими еще услугами можно воспользоваться в гостинице,добрый день какой услуга воспользоваться гостиница,время
213,Здравствуйте на территории есть парковка,здравствуйте территория парковка,парковка
214,добрый день хотелось бы узнать какие номера представлены в вашей гостинице,добрый день хотеться узнать какой номер представить ваш гостиница,время
215,Добрый день Есть ли в гостинице дополнительные опции,добрый день гостиница дополнительный опция,услуги
216,какие услуги еще имеються у вашей гостинице,какой услуга имеються ваш гостиница,услуги
217,добрый день мне нужна парковка на территории отеля есть ли такая услуга,добрый день нужный парковка территория отель такой услуга,парковка
218,добрый день есть место для парковки автомобиля и какая цена на сутки,добрый день место парковка автомобиль цена сутки,время
219,Когда можно заехать,заехать,время
220,доброе утро у вас есть платная парковка,добрый утро платный парковка,парковка
221,добрый день есть ли в гостинице какие нибудь дополнительные услуги,добрый день гостиница какой дополнительный услуга,услуги
222,При отеле есть парковочные места,отель парковочный место,время
223,когда можно заехать в номер,заехать номер,время
224,во сколько заезд,сколько заезд,время
225,здравствуй есть свободные номера,здравствуй свободный номер,номера
226,добрый день есть ли у вас номера класса люкс,добрый день номер класс люкс,номера
227,пожалуйста скажи мне номер который у тебя есть,пожалуйста сказать номер который,время
228,скажите пожалуйста есть ли у вас двух местные номера,сказать пожалуйста два местный номер,номера
229,добрый день у вас есть парковка на территории отеля,добрый день парковка территория отель,парковка
230,Подскажите пожалуйста какие номера вы можете предложить мне ,подсказать пожалуйста какой номер мочь предложить,номера
231,какие у вас есть номера,какой номер,номера
232,здравствуйте меня интересует есть ли у вашего отеля автомобильная парковка,здравствуйте интересовать ваш отель автомобильный парковка,парковка
233,добрый день подскажите пожалуйста в котором часу я могу въехать в номер и до которого часа мне необходимо номер покинуть,добрый день подсказать пожалуйста который час мочь въехать номер который час необходимо номер покинуть,время
234,какие услуги выполняет гостиница,какой услуга выполнять гостиница,услуги
235,добрый день будьте добры подскажите пожалуйста какими дополнительными услугами я могу воспользоваться в вашей гостинице трансфер аквапарк пребывание с животными,добрый день быть добрый подсказать пожалуйста какой дополнительный услуга мочь воспользоваться ваш гостиница трансфер аквапарк пребывание животное,время
236,парковка бесплатная,парковка бесплатный,парковка
237,добрый день в вашем отеле есть своя парковка,добрый день ваш отель свой парковка,парковка
238,здравствуйте действует ли бронь на завтрашний день,здравствуйте действовать бронь завтрашний день,время
239,Добрый день у вас есть свободные номера в вашем отеле Я хочу забронировать номер,добрый день свободный номер ваш отель хотеть забронировать номер,забронировать
240,категории номеров в отеле какие представлены,категория номер отель какой представить,время
241,Сколько времени заемет время до номера,сколько время заемета время номер,время
242,какие номера у вас имеются,какой номер иметься,номера
243,какие есть доп услуги,какой доп услуга,услуги
244,Какая то стоянка имеется у вас,стоянка иметься,время
245,Здравствуйте На территории отеля есть парковка,здравствуйте территория отель парковка,парковка
246,у вас есть двухместные или трехместные номера,двухместный трехместный номер,номера
247,здравствуйте какова стоимость парковки на территории отеля,здравствуйте каков стоимость парковка территория отель,парковка
248,скажите у вас есть двух местные номера,сказать два местный номер,номера
249,хотел бы узнать на счет парковки на территории отеля,хотеть узнать счёт парковка территория отель,парковка
250,добрый день в вашей гостинице есть спец предложение,добрый день ваш гостиница спец предложение,время
251,Здравствуйте у вас есть парковка на территории и сколько в час,здравствуйте парковка территория сколько час,парковка
252,подскажите пожалуйста время когда заселения и выселения,подсказать пожалуйста время заселение выселение,время
253,здравствуйте у вас есть свободные номера я хочу снять один,здравствуйте свободный номер хотеть снять,номера
254,День добрый Я хотел бы зарезервировать номер в вашем отеле,день добрый хотеть зарезервировать номер ваш отель,забронировать
255,Включён ли завтрак в проживание,включить завтрак проживание,время
256,в номер во сколько заезжать,номер сколько заезжать,время
257,здравствуйте мы приедем на своем автомобиле подскажите пожалуйста можно будет припарковать машину на территории гостиницы,здравствуйте приехать свой автомобиль подсказать пожалуйста припарковать машина территория гостиница,парковка
258,добрый день хотелось бы забронировать двухместный номер в вашем отеле,добрый день хотеться забронировать двухместный номер ваш отель,забронировать
259,доброго времени суток забронируйте мне номер в отеле пожалуйста,добрый время сутки забронировать номер отель пожалуйста,время
260,здравствуйте сколько стоит проживание,здравствуйте сколько стоить проживание,время
261,здравствуйте у вас присутствует свободный номер в вашем отеле,здравствуйте присутствовать свободный номер ваш отель,забронировать
262,доброе утро парковка в отеле имеется,добрый утро парковка отель иметься,парковка
263,день добрый я хочу поставить бронь,день добрый хотеть поставить бронь,время
264,добрый день я хотела бы узнать при вашем офисе есть парковка для автомобилей и какая стоимость в час,добрый день хотеть узнать ваш офис парковка автомобиль стоимость час,время
265,какие есть номера,какой номер,номера
266,с какого времени я могу заселиться,какой время мочь заселиться,время
267,можно забронировать у вас номер,забронировать номер,забронировать
268,во сколько можно въехать в номер,сколько въехать номер,время
269,когда можно будет приехать в гостиницу,приехать гостиница,время
270,я хочу заказать номер в у вас в отеле,хотеть заказать номер отель,забронировать
271,здравствуйте подскажите пожалуйста количество двухместных номеров,здравствуйте подсказать пожалуйста количество двухместный номер,время
272,здравствуйте подскажите пожалуйста стоимость стоянки и с какой стороны здания она находится,здравствуйте подсказать пожалуйста стоимость стоянка сторона здание находиться,время
273,здравствуйте я могу забронировать номер в вашей гостинице,здравствуйте мочь забронировать номер ваш гостиница,забронировать
274,добрый день подскажите какие услуги дополнительно предоставляет отель,добрый день подсказать какой услуга дополнительно предоставлять отель,услуги
275,Можно ли забронировать номер в вашем отеле,забронировать номер ваш отель,забронировать
276,у вас есть доступные номера хочу забронировать,доступный номер хотеть забронировать,номера
277,когда можно будет заселиться,заселиться,время
278,здравствуйте я хочу забронировать номер в отеле,здравствуйте хотеть забронировать номер отель,забронировать
279,сколько стоит машина,сколько стоить машина,время
280,когда могу заселится в номер,мочь заселиться номер,время
281,здравствуйте подскажите пожалуйста на территории отеля есть ли парковка,здравствуйте подсказать пожалуйста территория отель парковка,парковка
282,привет подскажите какие у гостиницы есть дополнительные услуги,привет подсказать какой гостиница дополнительный услуга,услуги
283,здравствуйте а у вас есть стоянка для авто,здравствуйте стоянка авто,время
284,могу ли я получить информацию об имеющихся у вас номерах,мочь получить информация иметься номер,время
285,здравствуйте есть ли у вас парковка для гостей,здравствуйте парковка гость,парковка
286,сколько осталось у вас номеров в отеле,сколько остаться номер отель,время
287,сколько стоит свободный номер и на сколько человек он предусмотрен,сколько стоить свободный номер сколько человек предусмотреть,время
288,а какие есть номера у вас,какой номер,номера
289,добрый день мне нужно место в вашей гостиной,добрый день нужно место ваш гостиная,время
290,здравствуйте как заказать номер,здравствуйте заказать номер,забронировать
291,здравствуйт подскажите пожалуйста есть ли у вас парковка для персонального авто,здравствуйт подсказать пожалуйста парковка персональный авто,парковка
292,что вы можете предложить мне дополнительно,мочь предложить дополнительно,время
293,Здравствуйте Скажите пожалуйста смогу ли я припарковаться на территории отеля,здравствуйте сказать пожалуйста смочь припарковаться территория отель,парковка
294,здравствуйте мне нужно забронировать апартаменты у вас в отеле как я смогу это сделать,здравствуйте нужно забронировать апартамент отель смочь это сделать,забронировать
295,когда заезд,заезд,время
296,здравствуйте хотел бы узнать какие есть номера в наличии,здравствуйте хотеть узнать какой номер наличие,номера
297,могу ли я уточнить какие номера имеются в наличии,мочь уточнить какой номер иметься наличие,номера
298,заезд выезд,заезд выезд,время
299,у вас есть парковка,парковка,парковка
300,какие услуги у вас есть,какой услуга,услуги
301,могу я забронировать у вас номер,мочь забронировать номер,забронировать
302,что дополнительно вы можете предложить,дополнительно мочь предложить,время
303,когда заезжаем в номер,заезжать номер,время
304,У вас есть номера с видом на море,номер вид море,номера
305,какие допуслуги вы предоставляете,какой допуслуга предоставлять,время
306,Какие дополнительные услуги вы предоставляете,какой дополнительный услуга предоставлять,услуги
307,на территории отеля имеется парковка,территория отель иметься парковка,парковка
308,во сколько обед в отеле,сколько обед отель,время
309,какого числа можно будет заселиться,какой число заселиться,время
310,Сколько стоит у вас поставить автомобиль на стоянку,сколько стоить поставить автомобиль стоянка,время
311,добрый день возможно ли припарковать авто на территории вашего отеля,добрый день возможно припарковать авто территория ваш отель,парковка
312,в какое время нужно заехать в гостиницу,какой время нужно заехать гостиница,время
313,здравствуйте мне бы заказать номер у вас в отеле,здравствуйте заказать номер отель,забронировать
314,Как забронировать номер в вашем отеле,забронировать номер ваш отель,забронировать
315,В котором часу нужно освободить номер,который час нужно освободить номер,время
316,добрый вечер мне нужно забронировать номер в вашем отеле,добрый вечер нужно забронировать номер ваш отель,забронировать
317,здравствуйте можете уточнить ц вас есть стоянка при отеле,здравствуйте мочь уточнить ц стоянка отель,время
318,добрый день подскажите какие у вас есть доп услуги,добрый день подсказать какой доп услуга,услуги
319,Здравствуйте какие дополнительные услуги предоставляют гостиницы,здравствуйте какой дополнительный услуга предоставлять гостиница,услуги
320,хочу получить информацию о номерном фонде,хотеть получить информация номерной фонд,время
321,у вас есть где припарковаться,припарковаться,время
322,Здравствуйте я хочу снять комнату,здравствуйте хотеть снять комната,время
323,день добрый если у нас парковку у отеля и сколько она стоит,день добрый парковка отель сколько стоить,время
324,здравствуйте мне необходимо забронировать номер в вашем отеле,здравствуйте необходимо забронировать номер ваш отель,забронировать
325,имеится ли у вас парковка,имеиться парковка,парковка
326,сауна бассейн баня фитнес зал предоставляет гостиница,сауна бассейн баня фитнес зал предоставлять гостиница,время
327,здравствуйте что нужно чтобы забронировать у вас номер,здравствуйте нужно забронировать номер,забронировать
328,привет мне нужно место в вашем отеле,привет нужно место ваш отель,забронировать
329,какой фонд вас интересует,фонд интересовать,время
330,какие номера есть в наличии,какой номер наличие,номера
331,здравствуйте а не подскажете есть ли тут автомобильная стоянка если есть то сколько стоит,здравствуйте подсказать автомобильный стоянка сколько стоить,время
332,"Добрый день Подскажите, какие услуги доступны в вашем отеле","добрый день подсказать , какой услуга доступный ваш отель",услуги
333,здравствуйте у вас есть бесплатная парковка в отеле,здравствуйте бесплатный парковка отель,парковка
334,добрый день подскажите есть ли у вас на территории гостиницы парковка платная или бесплатная,добрый день подсказать территория гостиница парковка платный бесплатный,парковка
335,добрый день модео ли приехать к вам в отель на своем автомобиле,добрый день модео приехать отель свой автомобиль,время
336,Привет имеются ли у вас трехместные номера,привет иметься трехместный номер,номера
337,здравствуйте я хотел бы знать какие услуги предлагаются в отеле,здравствуйте хотеть знать какой услуга предлагаться отель,услуги
338,здравствуйте в вашей гостинице имеется спа,здравствуйте ваш гостиница иметься спа,время
339,привет бронь в отеле,привет бронь отель,время
340,у вас до 12 часов время заезда,12 час время заезд,время
341,какие у вас имеются номера в городе интересует трехместный номер люкс с кондеем джакузи и вай фай обязательно,какой иметься номер город интересовать трехместный номер люкс кондей джакузи вай фай обязательно,номера
