,query,col1,col2,col3
152,добрый день можно ли ознакомиться со всеми услугами вашей гостиницы,91,71,15
153,какое время выселения из номера,72,88,66
154,подскажите пожалуйста время бронирвоания,53,72,87
155,здравствуйте я бы хотела осуществить бронирование номера в вашем отеле,85,91,6
156,здраствуйте как забронировать у вас номер в отеле,76,76,35
157,у вас какие номера в налиии,58,71,31
158,сколько будет стоит стоянка,32,8,57
159,здравствуйте могу я забронировать номер,59,37,20
160,какая тематика должна быть,77,75,29
161,добрый день что входит в дополнительные услуги вашей гостиницы,56,56,96
162,сообщите пожалуйста в какое время я могу заселиться в номер,19,0,71
163,Какими номерами вы располагаете,82,35,65
164,Здравствуйте не подскажете где можно припарковаться у вашего отеля,65,14,39
165,Скажите пожалуйстакакими доп  услугами можно воспользоваться в вашей гостинице,51,54,20
166,Здравствуйте у вас есть парковка на территории отеля Какие условия,71,99,65
167,время заседания и выселения,47,10,19
168,огласить все номера в наличии можете,43,92,0
169,мне бы хотелось забронировать номер у вас в отеле,4,81,7
170,Перечислите доступные услуги отеля,92,93,11
171,здраствуйте у вас есть парковка,21,49,53
172,здравствуйте есть ли у вас парковка рядом с гостиницей если есть какая стоимость парковки в час,31,63,92
173,Привет имеются ли у вас трехместные номера,51,30,13
174,какие имеет значение на какое время заезда номер,33,92,7
175,здравствуйте имеется ли парковка при гостинице и входит ли ее стоимость в проживание,51,88,32
176,когда время заселения в номер,78,5,77
177,подскажите можно у вашего отеля оставить авто,52,71,51
178,у вас есть номера люкс,49,80,60
179,Доброго дня Расскажите о дополнительных услугах предоставляемых гостиницей,2,62,87
180,здравствуйте помогите мне забронировать у вас номер,30,18,36
181,я хочу забронировать номер в отеле,44,53,66
182,когда можно заселиться,43,76,45
183,у меня нет номера,61,30,42
184,добрый день хочу оформить бронь в вашем отеле,57,87,79
185,доброе утро у вас есть парковка на территории отеля,94,97,80
186,есть ли парковка на территории отеля,51,76,64
187,доброе нет у нас нету мест в отеле,53,98,35
188,забронировать номер в отеле,47,26,47
189,здравствуйте я хотела бы узнать могу ли я припарковать авто на территории вашего отеля,97,8,26
190,расскажите о дополнительных услугах гостинницы,37,42,20
191,Скажите пожалуйста какими ещё услугами гостиницы я могу воспользоваться,29,49,83
192,добрый день есть ли возможность заказать номер для семейной пары с дополнительной комнатой,13,21,50
193,добрый день подскажите в какое время я могу заселиться в номер,3,95,75
194,имеется ли у вас парковка,0,65,18
195,Во сколько заезд в номер,46,82,79
196,здравствуйте я бы хотела забронировать у вас номер,93,88,28
197,здравствуйте подскажите пожалуйста есть ли возможность поставить машину рядом,48,64,97
198,в какое время я могу заселиться,46,83,46
199,во сколько заселение в номер,94,56,14
200,здравствуйте подскажите пожалуйста на территории отеля есть место для стоянки автомобиля,87,30,94
201,Какое точное время заселения в гостиницу,92,5,55
202,возможно ли забронировать номер,39,77,29
203,когда заселяться,39,51,91
204,здравствуйте подскажите время заезда в номер,86,92,92
205,во сколько заезжаем,21,2,38
206,здравствуйте мне необходимо забронировать номер на три персоны в вашем отеле,49,80,48
207,здравствуйте рядом с вами есть парковка,20,66,38
208,Добрый денькакие у вас имеются гостиничные номера,22,32,33
209,добрый день расскажите пожалуйста какие дополнительные услуги присутствуют в вашей гостинице,85,59,24
210,скажите пожалуйста сколько у вас всего номеров,53,88,76
211,на данный момент гостиница работает,91,70,77
212,добрый день какими еще услугами можно воспользоваться в гостинице,95,17,74
213,Здравствуйте на территории есть парковка,80,49,32
214,добрый день хотелось бы узнать какие номера представлены в вашей гостинице,74,66,38
215,Добрый день Есть ли в гостинице дополнительные опции,13,38,67
216,какие услуги еще имеються у вашей гостинице,17,31,38
217,добрый день мне нужна парковка на территории отеля есть ли такая услуга,100,69,90
218,добрый день есть место для парковки автомобиля и какая цена на сутки,88,77,69
219,Когда можно заехать,64,47,62
220,доброе утро у вас есть платная парковка,86,41,59
221,добрый день есть ли в гостинице какие нибудь дополнительные услуги,22,79,67
222,При отеле есть парковочные места,72,63,61
223,когда можно заехать в номер,81,27,46
224,во сколько заезд,85,77,7
225,здравствуй есть свободные номера,50,11,85
226,добрый день есть ли у вас номера класса люкс,98,25,85
227,пожалуйста скажи мне номер который у тебя есть,7,76,9
228,скажите пожалуйста есть ли у вас двух местные номера,40,72,99
229,добрый день у вас есть парковка на территории отеля,6,49,38
230,Подскажите пожалуйста какие номера вы можете предложить мне ,100,58,9
231,какие у вас есть номера,48,38,60
232,здравствуйте меня интересует есть ли у вашего отеля автомобильная парковка,47,18,29
233,добрый день подскажите пожалуйста в котором часу я могу въехать в номер и до которого часа мне необходимо номер покинуть,57,32,28
234,какие услуги выполняет гостиница,61,76,43
235,добрый день будьте добры подскажите пожалуйста какими дополнительными услугами я могу воспользоваться в вашей гостинице трансфер аквапарк пребывание с животными,0,93,68
236,парковка бесплатная,33,17,14
237,добрый день в вашем отеле есть своя парковка,69,69,63
238,здравствуйте действует ли бронь на завтрашний день,44,99,1
239,Добрый день у вас есть свободные номера в вашем отеле Я хочу забронировать номер,19,27,95
240,категории номеров в отеле какие представлены,90,71,83
241,Сколько времени заемет время до номера,10,61,65
242,какие номера у вас имеются,42,71,14
243,какие есть доп услуги,21,15,0
244,Какая то стоянка имеется у вас,85,76,27
245,Здравствуйте На территории отеля есть парковка,100,63,84
246,у вас есть двухместные или трехместные номера,50,25,20
247,здравствуйте какова стоимость парковки на территории отеля,36,77,96
248,скажите у вас есть двух местные номера,91,75,78
249,хотел бы узнать на счет парковки на территории отеля,100,80,6
250,добрый день в вашей гостинице есть спец предложение,76,79,41
251,Здравствуйте у вас есть парковка на территории и сколько в час,67,34,84
252,подскажите пожалуйста время когда заселения и выселения,9,96,55
253,здравствуйте у вас есть свободные номера я хочу снять один,2,53,96
254,День добрый Я хотел бы зарезервировать номер в вашем отеле,16,37,84
255,Включён ли завтрак в проживание,15,85,22
256,в номер во сколько заезжать,71,46,99
257,здравствуйте мы приедем на своем автомобиле подскажите пожалуйста можно будет припарковать машину на территории гостиницы,48,32,79
258,добрый день хотелось бы забронировать двухместный номер в вашем отеле,70,69,45
259,доброго времени суток забронируйте мне номер в отеле пожалуйста,46,78,46
260,здравствуйте сколько стоит проживание,86,30,43
261,здравствуйте у вас присутствует свободный номер в вашем отеле,25,26,46
262,доброе утро парковка в отеле имеется,72,63,37
263,день добрый я хочу поставить бронь,67,20,6
264,добрый день я хотела бы узнать при вашем офисе есть парковка для автомобилей и какая стоимость в час,75,82,89
265,какие есть номера,79,81,98
266,с какого времени я могу заселиться,84,96,44
267,можно забронировать у вас номер,70,3,43
268,во сколько можно въехать в номер,64,85,94
269,когда можно будет приехать в гостиницу,64,7,5
270,я хочу заказать номер в у вас в отеле,27,9,77
271,здравствуйте подскажите пожалуйста количество двухместных номеров,39,33,35
272,здравствуйте подскажите пожалуйста стоимость стоянки и с какой стороны здания она находится,47,19,91
273,здравствуйте я могу забронировать номер в вашей гостинице,71,25,72
274,добрый день подскажите какие услуги дополнительно предоставляет отель,95,31,64
275,Можно ли забронировать номер в вашем отеле,54,35,47
276,у вас есть доступные номера хочу забронировать,99,44,39
277,когда можно будет заселиться,33,42,53
278,здравствуйте я хочу забронировать номер в отеле,3,84,72
279,сколько стоит машина,95,86,0
280,когда могу заселится в номер,52,28,81
281,здравствуйте подскажите пожалуйста на территории отеля есть ли парковка,65,99,98
282,привет подскажите какие у гостиницы есть дополнительные услуги,31,42,36
283,здравствуйте а у вас есть стоянка для авто,58,82,84
284,могу ли я получить информацию об имеющихся у вас номерах,38,30,87
285,здравствуйте есть ли у вас парковка для гостей,17,92,66
286,сколько осталось у вас номеров в отеле,4,4,35
287,сколько стоит свободный номер и на сколько человек он предусмотрен,26,57,24
288,а какие есть номера у вас,87,38,100
289,добрый день мне нужно место в вашей гостиной,79,16,66
290,здравствуйте как заказать номер,17,39,97
291,здравствуйт подскажите пожалуйста есть ли у вас парковка для персонального авто,27,25,4
292,что вы можете предложить мне дополнительно,28,68,58
293,Здравствуйте Скажите пожалуйста смогу ли я припарковаться на территории отеля,100,20,3
294,здравствуйте мне нужно забронировать апартаменты у вас в отеле как я смогу это сделать,40,70,13
295,когда заезд,66,3,28
296,здравствуйте хотел бы узнать какие есть номера в наличии,72,42,57
297,могу ли я уточнить какие номера имеются в наличии,81,90,18
298,заезд выезд,47,65,28
299,у вас есть парковка,86,23,48
300,какие услуги у вас есть,29,17,37
301,могу я забронировать у вас номер,7,75,25
302,что дополнительно вы можете предложить,7,46,96
303,когда заезжаем в номер,56,100,83
304,У вас есть номера с видом на море,14,26,72
305,какие допуслуги вы предоставляете,31,70,23
306,Какие дополнительные услуги вы предоставляете,27,25,63
307,на территории отеля имеется парковка,80,28,81
308,во сколько обед в отеле,27,52,59
309,какого числа можно будет заселиться,44,4,38
310,Сколько стоит у вас поставить автомобиль на стоянку,82,47,65
311,добрый день возможно ли припарковать авто на территории вашего отеля,29,71,94
312,в какое время нужно заехать в гостиницу,82,93,94
313,здравствуйте мне бы заказать номер у вас в отеле,1,13,20
314,Как забронировать номер в вашем отеле,51,22,76
315,В котором часу нужно освободить номер,80,64,7
316,добрый вечер мне нужно забронировать номер в вашем отеле,87,73,18
317,здравствуйте можете уточнить ц вас есть стоянка при отеле,5,54,71
318,добрый день подскажите какие у вас есть доп услуги,12,75,32
319,Здравствуйте какие дополнительные услуги предоставляют гостиницы,9,77,26
320,хочу получить информацию о номерном фонде,98,21,96
321,у вас есть где припарковаться,55,78,95
322,Здравствуйте я хочу снять комнату,74,16,15
323,день добрый если у нас парковку у отеля и сколько она стоит,49,74,51
324,здравствуйте мне необходимо забронировать номер в вашем отеле,51,35,98
325,имеится ли у вас парковка,53,29,93
326,сауна бассейн баня фитнес зал предоставляет гостиница,50,44,68
327,здравствуйте что нужно чтобы забронировать у вас номер,27,42,22
328,привет мне нужно место в вашем отеле,29,56,75
329,какой фонд вас интересует,76,5,72
330,какие номера есть в наличии,40,15,99
331,здравствуйте а не подскажете есть ли тут автомобильная стоянка если есть то сколько стоит,79,43,92
332,"Добрый день Подскажите, какие услуги доступны в вашем отеле",15,51,48
333,здравствуйте у вас есть бесплатная парковка в отеле,13,73,68
334,добрый день подскажите есть ли у вас на территории гостиницы парковка платная или бесплатная,19,17,44
335,добрый день модео ли приехать к вам в отель на своем автомобиле,5,65,26
336,Привет имеются ли у вас трехместные номера,75,91,94
337,здравствуйте я хотел бы знать какие услуги предлагаются в отеле,58,68,33
338,здравствуйте в вашей гостинице имеется спа,32,63,18
339,привет бронь в отеле,98,53,27
340,у вас до 12 часов время заезда,42,46,94
341,какие у вас имеются номера в городе интересует трехместный номер люкс с кондеем джакузи и вай фай обязательно,34,67,10
342,как долго я могу оставаться в комнате,62,1,65
343,время заселения в номер,31,38,46
344,нужно ли платить за парковку,86,92,66
345,добрый день уточните пожалуйста предоставляет ли ваша гостиница вспомогательные услуги для клиентов,86,65,20
346,перечень дополнительных услуг предоставляемых гостиницей,69,18,88
347,добрый день есть ли свободные места для парковки автомобиля в ночное время суток,13,40,13
348,здравствуйте у вас есть бронь,100,30,80
349,когда случился заезд,53,17,5
350,Здравствуйте можно фото двухместного номера,15,45,75
351,Здравствуйте Могу ли я забронировать номер в вашем отеле,3,3,55
352,Когда я могу заселиться,100,12,81
353,добрый день есть ли дополнительные услуги в гостинице,73,98,61
354,у нас лучшие номера,92,47,73
355,Не могли бы вы сказать мне сколько у вас комнат,96,1,88
356,здравствуйте можете помочь зарегестрировать номер у вас,70,96,6
357,мне нужен двухместный номер на 2 июня есть свободные,67,62,67
358,здравствуйте а есть дополнительные услуги какие,95,29,61
359,добрый день нужна бронь свободного номера,65,99,3
360,я хочу забронировать отель,29,68,79
361,Доброго дня пожалуйста уточните время заселения и выселения,5,50,39
362,что еще есть в гостинице спа салон ресторан,95,5,71
363,время выселения из номера,82,61,35
364,чем можно заняться в отеле,74,73,40
365,скажите пожалуйста сколько там комнат,21,79,26
366,Здравствуйте Подскажите мне можно ли припарковаться на территории отеля ,68,24,45
367,доброго времени суток какие еще слуги предоставляет данная гостиница,7,91,1
368,добрый день подскажите пожалуйста какие услуги есть в вашем отеле,68,69,72
369,в котором часу заезд в номер,72,50,42
370,какие есть гостиничные номера,80,70,73
371,Какие номера доступны для бронирования,16,1,91
372,хай что есть дополнительного в гостинице,68,77,54
373,в какой день заезд,14,29,5
374,здравствуйте как забронировать номер в отеле,13,78,92
375,Какие в ностинице бесплатные услуги,27,87,24
376,Добрый день Расскажите про номера которые есть в вашем отеле,44,46,80
377,подскажите пожалуйста какие у вас имеются номера в гостиницу,19,75,75
378,доброе утро я могу где нибудь припарковаться у вашего отеля,28,64,16
379,а какие у вас услуги,37,44,40
380,Расскажите про номера,64,75,59
381,здравствуйте могу ли я у вас забронировать номер,47,15,51
382,скажите время заезда в номер,84,53,90
383,добрый день гостиница предоставляет дополнительные услуги,94,63,65
384,подскажите во сколько можно заселиться в номер,77,63,36
385,какие допуслуги предоставляются в гостинице,38,88,46
386,добрый день у вас на территории можно поставить авто на парковку на время отдыха,19,94,36
387,пожалуйста у вас есть парковка,81,92,84
388,подскажите пожалуйста какие у вас номера,22,15,22
389,добрый день гостиница предоставляет какие либо дополнительные услуги если да то какие,90,33,87
390,здравствуйте меня интересует есть ли у вас парковка на территории отеля,7,29,31
391,здравствуйте мне нужен номер в отеле хилтон ленинградская,71,40,89
392,какие дополнительные услуги предоставляет гостиница,72,32,99
393,добрый день расскажите про ваши номера,68,74,92
394,у вас есть двухместные номера,53,34,45
395,я хочу знать о вашей парковке,96,41,28
396,подскажите пожалуйста все имеющиеся номера,53,79,0
397,расскажите про дополнительные услуги,97,68,76
398,когда заселятся по времени в номер,54,8,24
399,а какие номера есть,90,81,3
400,хочу у вас снять комнату,32,99,11
401,во сколько можно заезжать в отель,96,2,99
402,когда вы будете заезжать,97,48,53
403,доброго времени суток подскажите что входит в оплату за номер в вашей гостинице,5,38,18
404,есть парковка на территории отеля,43,60,54
405,Здравствуйте Давайте забронируем номер люкс в вашем отеле,97,35,71
406,Здравствуйте Уточните можно ли оставить машину на территории,34,41,33
407,здравствуйте возможна ли бронь в вашем отеле,1,18,48
408,у меня нет парковки на территории отеля,37,11,6
409,добрый день в стоимость моего проживания будет включен завтрак,39,38,55
410,есть ли около гостиницы автомобильная стоянка и стоимость,100,22,36
411,к 6 которому времени необходимо заехать в номер,13,25,2
412,Здравствуйте скажите пожалуйста какие номера есть в отеле,2,59,16
413,здравствуйте могу ли я забронировать номер в этом отеле,62,25,44
414,во сколько можно заехать в гостиницу,23,7,4
415,у вас есть двухместные номера с завтраком,19,5,71
416,у отеля есть своя парковка,52,75,51
417,Перечислите доступные услуги отеля,15,41,75
418,здравствуйте расскажите подробнее об услугах предоставляемых гостиницей,24,85,27
419,могу ли я узнать а какие дополнительные услуги предоставляет гостиница,67,46,94
420,доброе утро есть ли на территории отеля парковка,95,42,30
421,доброе время суток хотелось бы узнать можно ли припарковаться возле отеля,7,52,26
422,я плохо иметь парковку у отеля,85,89,17
423,добрый день у нас номер 345,54,46,89
424,здравствуйте хотелось бы узнать у вас имеется автомобильная стоянка не подскажите стоимость данной услуги,29,42,43
425,лучший номер бронь,37,79,68
426,здравствуйте хочу снять номер в отеле,19,35,17
427,у меня нет номер фонда,6,70,23
428,добрый день могу я забронировать номер в отеле,4,81,59
429,я хотела бы узнать когда я могу заселиться в мой номер,3,27,27
430,Какие номера в наличии,8,65,59
431,какие у вас номера есть,38,33,5
432,у вас есть одноместные номера,11,16,75
433,когда я могу заселиться в номер,67,7,37
434,Какое время заезда и выезда в номер,61,80,61
435,хочу бронь оформить,31,71,67
436,когда будет заезд и выезд,67,81,23
437,подскажите в какое время можно заехать в снятый номер,50,22,4
438,что еще я могу получить у вас,7,46,44
439,напомните какие номера есть,16,53,66
440,привет мне нужен номер в отеле,9,94,81
441,добрый день подскажите в гостинице есть трансфер,69,22,8
442,Какими ещё услугами я могу воспользоваться в гостинице,27,11,74
443,здравствуйте нужен номер в вашем отеле,25,38,73
444,время заселения и выезда,50,100,76
445,какова стоимость автостоянки,51,79,98
446,добрый день какими дополнительными услугами я могу воспользоваться в вашей гостинице,86,83,21
447,меня интересует есть ли в вашем отеле парковочные места,39,50,62
448,привет уточните пожалуйста наличие и стоимость автомобильной стоянки возле гостиницы,23,85,96
449,где лучше отдохнуть,9,63,25
450,здравствуйте подскажите пожалуйста что входит в перечень дополнительных услуг в вашей гостинице,49,80,91
451,здравствуйте есть ли место для автомобиля на территории вашего заведения,92,62,48
452,Какие номера можете дать,79,52,91
453,Здраствуйте на территории отеля у вас есть летние веранды,65,81,83
454,привет пожалуйста на этом сайте есть парковка,21,91,43
455,доброе утро у вас есть парковка,94,17,19
456,мое время заезда в номер 22 00,47,83,54
457,расскажите какими номерами вы распологаете,87,99,73
458,Черт у вас есть парковка и какова цена,59,58,84
459,здравствуйте подскажите пожалуйста есть ли в гостинице дополнительные услуги,1,9,62
460,здравствуйте у вас имеется парковка при гостинице,48,8,64
461,здравствуйте скажите у вас есть свободные номера пожалуйста забронируйте для меня номер,84,70,93
462,здравствуйте у вас есть свободные номера,33,95,55
463,Здравствуйте мне нужен номер в гостинице одноместный,39,30,18
464,какие есть услуги в гостинице,60,36,88
465,добрый день в вашей гостинице есть дополнительные услуги,50,68,45
466,Здравствуйте скажите смогу ли я оставить автомобиль на стоянку возле гостиницы ,44,55,99
467,добрый день какие номера у вас есть в наличии,48,29,83
468,бронирование номеров вызов такси,25,42,53
469,здравствуйте можно забронировать номер в вашем отеле,81,25,28
470,хочу узнать какое точное время заселения в номер,77,50,34
471,пожалуйста дайте мне знать если у вас есть номер 345,30,54,40
472,какова стоимость и комфортабельность свободных номеров,45,72,51
473,подскажите чек ин и чек аут в отеле,18,7,13
474,скольки местные номера есть,92,86,66
475,во сколько заселяют и выселяют из номеров,17,49,30
476,добрый день скажите пожалуйста во сколько нужно приехать чтобы пошла оплата номера и во сколько нужно выезжать чтобы не переплатить за лишние сутки,81,32,61
477,доброго времени суток можно познакомиться с перечнем всех возможностей организации,1,48,45
478,могу я узнать о номерах,97,51,17
479,здравствуйте входит ли в услуги гостиницы завтрак и обед,0,50,69
480,Скажите Пожалуйста у имеются свободные парковки на территории отеля,45,40,30
481,Привет Как я могу забронировать в гостинице номер,66,46,93
482,добрый день сколько стоит парковка,13,96,32
483,В какое время освободиться номер,88,50,1
484,во сколько у вас проходит заселение,45,66,98
485,Есть парковочные места возле отеля,76,45,60
486,здравствуйте можно ли забронировать номер,55,11,95
487,Здравствуйте какие услуги предлагает отель,9,13,14
488,Здравствуйте Мне нужно оформить бронь номера,15,56,96
489,Здравствуйте где я смогу оставить машину,96,61,75
490,хочу узнать какие есть услуги в гостинице,61,76,83
491,во сколько можно въезжать в номер,94,74,77
492,добрый день у вас в гостинице есть дополнительные услуги,16,77,38
